id,name,neighbourhood,neighbourhood_cleansed,room_type,price,latitude,longitude
44410517,Amazing Apartment Centrally Located In Berlin,"Berlin, Germany",Alexanderplatz,Entire home/apt,$60.00,52.52376999999999,13.39044
44410663,90sqm charming apartment near Tempelhofer Feld,,Neuköllner Mitte/Zentrum,Entire home/apt,$79.00,52.46916,13.43535
44411065,Berlin home directly in Hasenheide park,,Schillerpromenade,Private room,$45.00,52.4872,13.41608
44411682,"Privates Bad & helles, schönes Zimmer in top Lage!","Berlin, Germany",Schöneberg-Süd,Private room,$55.00,52.48253,13.34355
44414513,Atelier  Wohnung Berlin/Friedrichshagen,,Friedrichshagen,Entire home/apt,$65.00,52.4561,13.62905
44414677,Spacious & lightfilled apartment - amenities incl!,"Berlin, Germany",Tempelhofer Vorstadt,Private room,$60.00,52.48976,13.41598
44415448,Dachgeschoss-Wohnung in Berlin Friedrichshain,,Frankfurter Allee Nord,Private room,$40.00,52.51942,13.467479999999998
44420271,Ferien am Müggelsee,"Berlin, Germany",Friedrichshagen,Entire home/apt,$50.00,52.44988000000001,13.63286
44421542,Cat and baby friendly flat in the heart of Berlin!,"Berlin, Germany",Prenzlauer Berg Nordwest,Entire home/apt,$65.00,52.54825,13.409579999999998
44422624,Schöne 3-Zimmer-Altbauwohnung in Berlin Wedding,"Berlin, Germany",Wedding Zentrum,Entire home/apt,$85.00,52.55301,13.36594
44422884,New Modern Flat across from Sbahn/Ubahn Wedding,,Brunnenstr. Nord,Entire home/apt,$60.00,52.54324,13.3679
44425101,Orientalische Schöne studio apartment in Wedding,,Osloer Straße,Entire home/apt,$30.00,52.56154,13.38412
44425867,Zimmer im kleinen aber feinem Einfamilienhaus,"Berlin, Germany",Mahlsdorf,Private room,$25.00,52.48906,13.61056
44426958,Well connected 1 studio apartment near Mitte,,Brunnenstr. Nord,Entire home/apt,$60.00,52.54186,13.392879999999998
44430121,"Berlin,Ein völlig unabhängige schönes,für7Personen","Berlin, Germany",Buckow,Private room,$88.00,52.4172,13.40838
44432002,#502 Be my guest,"Berlin, Germany",Frankfurter Allee Süd FK,Entire home/apt,$80.00,52.51229,13.45667
44434887,"Sonnige 2 Zimmer Wohnung, Balkon mit Panoramablick","Berlin, Germany",Albrechtstr.,Entire home/apt,$85.00,52.46352,13.33295
44438078,"Cosy Apartment,great Location and top Equipment","Berlin, Germany",Prenzlauer Berg Ost,Entire home/apt,$60.00,52.53593000000001,13.43556
44438982,Cozy and quiet apartment in the hip city center,,Alexanderplatz,Entire home/apt,$110.00,52.52673000000001,13.40772
44439201,Brandneues Studio Apartment,,Osloer Straße,Entire home/apt,$65.00,52.557680000000005,13.39484
44441661,"Berlin,das schönste voll möblierte Einfamilienhaus","Berlin, Germany",Neuköllner Mitte/Zentrum,Private room,$85.00,52.46656,13.43401
44442908,SUPER central New TOP-floor flat,"Berlin, Germany",Alexanderplatz,Entire home/apt,$37.00,52.517140000000005,13.4184
44443742,Maisonette apartment own roof terrace (Kreuzberg),"Berlin, Germany",nördliche Luisenstadt,Entire home/apt,$98.00,52.50343,13.427079999999998
44444143,Cozy sunny quiet room near Schönefeld airport,"Berlin, Germany",Adlershof,Private room,$38.00,52.4362,13.5477
44446102,Charming sweet home,"Berlin, Germany",Schöneberg-Süd,Entire home/apt,$69.00,52.4788,13.33752
44446374,Relaxing home in Prenzlauer Berg,,Helmholtzplatz,Entire home/apt,$60.00,52.54195,13.424729999999998
44452273,Cozy room in the heart of Berlin,"Berlin, Germany",Helmholtzplatz,Private room,$20.00,52.54076,13.42111
44453088,Beautiful room in the heart of Friedrichshain,,Frankfurter Allee Süd FK,Private room,$37.00,52.51245,13.46432
44453125,Bright 2 Room apartment. Downtown on Kudamm!,,Schöneberg-Nord,Entire home/apt,$100.00,52.50145,13.34231
44453937,Studio nahe Hauptbahnhof exkl. für Geschäftsleute,"Berlin, Germany",Moabit Ost,Private room,$32.00,52.53181,13.36251
44454266,Privatzimmer im Herzen des BERGMANNKIEZ,,Tempelhofer Vorstadt,Private room,$32.00,52.49238,13.39375
44454776,Bright Altbau in the heart of Kreuzberg,,Tempelhofer Vorstadt,Entire home/apt,$50.00,52.4901,13.38634
44455843,Cozy room in a charming shared flat,"Berlin, Germany",Moabit Ost,Private room,$35.00,52.53147,13.34917
44455880,Souterrain im Kreuzkölln,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$80.00,52.491240000000005,13.41743
44456164,Träumen über den Dächern von Berlin,,Regierungsviertel,Private room,$120.00,52.51641,13.38872
44456630,Lovely apartment in the heart of Kreuzberg,,nördliche Luisenstadt,Entire home/apt,$80.00,52.502480000000006,13.43021
44456764,Luxury one bedroom apartment in Berlin Mitte,,Brunnenstr. Süd,Entire home/apt,$48.00,52.53806,13.39759
44458268,Gorgeous bright and cosy 1 bedroom apartment,"Berlin, Germany",Alt  Treptow,Entire home/apt,$40.00,52.48786,13.45198
44458875,grüne Stadtoase - innen so außen,"Berlin, Germany",MV 2,Private room,$30.00,52.60676,13.32881
44460077,Bright studio apartment in the center of the city,,Regierungsviertel,Entire home/apt,$60.00,52.50855,13.39634
44461066,Cosy Double Room/ Friedrichshain,,Prenzlauer Berg Ost,Private room,$35.00,52.52135,13.45572
44461877,Musician's Apartment,"Berlin, Germany",Prenzlauer Berg Nordwest,Private room,$23.00,52.55376999999999,13.41126
44462049,Spacious room by Mauer Park,"Berlin, Germany",Brunnenstr. Süd,Private room,$18.00,52.538790000000006,13.40439
44463323,"Amazing view terrace, big family apartment",,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,$129.00,52.56101999999999,13.428770000000002
44463874,Möbilierte Neubau-Wohnung (2020) nahe Zentrum,"Berlin, Germany",Weißensee,Entire home/apt,$120.00,52.55271,13.43707
44467063,Zimmer in wg bis Ende August frei,,Wedding Zentrum,Private room,$55.00,52.55303000000001,13.38099
44467754,Single room-Standard-Shared Bathroom,,Neuköllner Mitte/Zentrum,Private room,$53.00,52.467830000000006,13.4402
44468310,Artistic apartment in the heart of Kreuzberg,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$55.00,52.48938,13.41022
44470078,Room in shared apartment in busy Neukölln area,,Reuterstraße,Private room,$45.00,52.48641,13.43452
44470435,Cheap and cosy place close to Alexander Platz60sqm,,Fennpfuhl,Entire home/apt,$40.00,52.52962,13.46103
44470534,Zentrales Apartment in Schöneberg,"Berlin, Germany",Schöneberg-Süd,Private room,$25.00,52.48579,13.34445
44470865,Nice flat in the heart of Kreuzberg- Bergmannkiez,,Tempelhofer Vorstadt,Entire home/apt,$60.00,52.48803,13.39761
44472701,Schöne helle 2 - Raumwohnung mit Balkon,"Berlin, Germany",Alt-Lichtenberg,Entire home/apt,$30.00,52.514790000000005,13.5019
44473147,Wohlfühlwohnung mitten in Berlin,"Berlin, Germany",Prenzlauer Berg Nordwest,Entire home/apt,$89.00,52.550540000000005,13.41162
44473402,Bright and cozy room in a peaceful area of Berlin,,Plänterwald,Private room,$35.00,52.47803,13.48361
44474465,Bequemes wohnen | Zentral gelegen | nähe Kudamm,"Berlin, Germany",Volkspark Wilmersdorf,Private room,$21.00,52.48799,13.323
44475431,Kreuzberg/Bergmannkiez - Art Gallery Apartment,"Berlin, Germany",Tempelhofer Vorstadt,Entire home/apt,$82.00,52.49176,13.39758
44477600,Quite place close to Mauerpark w/ great connection,"Berlin, Germany",Prenzlauer Berg Nordwest,Entire home/apt,$63.00,52.55406,13.40536
44480697,"❤ Großes, gemütliches Hausboot mit Kamin ❤","Berlin, Germany",Frankfurter Allee Süd FK,Entire home/apt,$129.00,52.49045,13.48344
44481036,"(Central) Ganze, helle Wohnung im Zentrum Berlins","Berlin, Germany",Moabit Ost,Entire home/apt,$49.00,52.532,13.35331
44481323,Fresh Flat mit Balkon in Berlin (U-Bahn Britz-Süd),,Britz,Entire home/apt,$80.00,52.43587,13.45075
44483717,2 Zimmer Altbau-Apartment in Top-Lage mit Balkon,,Schloß Charlottenburg,Entire home/apt,$69.00,52.5122,13.29115
44483955,Central modern stylish 3 bedrooms apartment,"Berlin, Germany",Wedding Zentrum,Entire home/apt,$70.00,52.54541999999999,13.36719
44484977,Cute 1 Bedroom Apartment- central location,"Berlin, Germany",Reuterstraße,Entire home/apt,$55.00,52.49137,13.42763
44486282,Altbauwohnung in Friedrichshain mit Bürobereich,"Berlin, Germany",Karl-Marx-Allee-Süd,Entire home/apt,$65.00,52.51088000000001,13.44938
44489638,Sunny room with beautiful view (Mitte/Prenzlberg),,Brunnenstr. Süd,Private room,$60.00,52.53375,13.40345
44490152,Kurfürstendamm Classic,"Berlin, Germany",Düsseldorfer Straße,Private room,$130.00,52.50005,13.31131
44496969,Arty Room for friendly People,"Berlin, Germany",Osloer Straße,Private room,$40.00,52.55814,13.37909
44496989,Cozy Studio Apartment in the Heart of P’berg,"Berlin, Germany",Prenzlauer Berg Süd,Entire home/apt,$79.00,52.53998000000001,13.42501
44499768,Beautiful airy flat in the heart of Berlin,"Berlin, Germany",Alexanderplatz,Entire home/apt,$74.00,52.50502,13.41712
44500034,Big cozy flat in the friendly neighborhood.,,Wedding Zentrum,Entire home/apt,$44.00,52.53951,13.34998
44500365,Bright room in the centre of Berlin,"Berlin, Germany",Alexanderplatz,Private room,$52.00,52.52511,13.41833
44503326,Charming 70m2 Apartment in Neukölln,"Berlin, Germany",Reuterstraße,Entire home/apt,$90.00,52.48666,13.43641
44504554,Cosy spacious appartment in exciting Fhain,"Berlin, Germany",Frankfurter Allee Süd FK,Entire home/apt,$35.00,52.50771999999999,13.47146
44512009,Gemütliche Berlin-Citywohnung mit toller Anbindung,,Brunnenstr. Nord,Entire home/apt,$40.00,52.54263,13.37717
44512221,Minimalismus direkt im Kiez,"Berlin, Germany",Prenzlauer Berg Nord,Entire home/apt,$69.00,52.54538,13.425529999999998
44512949,The African Room,,Schöneberg-Nord,Private room,$65.00,52.49125,13.36193
44513306,Sunny & Green 1-Bed Apartment in Prenzlauer Berg!,,Prenzlauer Berg Nordwest,Entire home/apt,$45.00,52.55486,13.40995
44513668,"Modernes, gepflegtes Zimmer im Herzen Berlins",,Brunnenstr. Süd,Private room,$50.00,52.52986,13.4008
44514184,Apartment in einem Haus mit Pool!,"Berlin, Germany",Adlershof,Entire home/apt,$100.00,52.44631999999999,13.554670000000002
44516404,Close to centre and with a view of the countryside,"Berlin, Germany",Pankow Zentrum,Entire home/apt,$57.00,52.5868,13.43056
44517788,Cosy Apartment with Garden near Berlin Wall,,Prenzlauer Berg Südwest,Entire home/apt,$120.00,52.53876,13.40693
44518304,Cozy apartament - Best Location,"Berlin, Germany",Schöneberg-Süd,Entire home/apt,$100.00,52.48696,13.36441
44520417,Berliner Altbau Zimmer mit Balkon,,Frankfurter Allee Süd FK,Private room,$40.00,52.5078,13.46393
44525002,Ruhige Hinterhof Wohnung innerhalb des S-Bahnrings,,Alt  Treptow,Entire home/apt,$31.00,52.49174,13.44673
44525377,Cosy 2-room flat in Charlottenburg,,Neue Kantstraße,Entire home/apt,$25.00,52.5032,13.292279999999998
44525459,110qm Executive Apartment near Museumsinsel,,Regierungsviertel,Entire home/apt,$120.00,52.52022,13.39272
44527441,Clean little apartment by Pankow,"Berlin, Germany",Ost 1,Entire home/apt,$29.00,52.5684,13.37469
44529314,Doppelzimmer-Economy,"Berlin, Germany",Prenzlauer Berg Süd,Private room,$43.00,52.53021,13.42523
44529438,Privates-Zimmer Treptow/Köpenick,"Berlin, Germany",Schmöckwitz/Karolinenhof/Rauchfangswerder,Private room,$60.00,52.37605,13.60964
44529655,"Big, bright, and beautifully designed room!",,Neuköllner Mitte/Zentrum,Private room,$25.00,52.48007,13.4313
44529894,Helles Zimmer nah am Ostkreuz,"Berlin, Germany",Neu Lichtenberg,Private room,$35.00,52.502030000000005,13.48783
44532152,Mitte bright contemporary space,"Berlin, Germany",Alexanderplatz,Private room,$50.00,52.5258,13.39291
44532790,The Bohemian Jungle,,Rixdorf,Entire home/apt,$50.00,52.47429,13.44806
44537031,Sunny rooftop apartment near Tempelhofer Feld,"Berlin, Germany",Britz,Entire home/apt,$69.00,52.45859,13.432429999999998
44537176,Gemütliches Zimmer im grünen Berliner Osten,"Berlin, Germany",Oberschöneweide,Private room,$27.00,52.46426,13.52038
44538122,Charming & cozy Rummelsburger sea view apartment,"Berlin, Germany",Rummelsburger Bucht,Entire home/apt,$70.00,52.50055,13.47645
44544144,Central spacios apartment  close to Alexanderplatz,"Berlin, Germany",Alexanderplatz,Entire home/apt,$53.00,52.524980000000006,13.41244
